lat,lon,Name,Adresse, Nb de places BePark,
43.9432666,4.8065208,Indigo - Jean Jaurès,02. AVENUE DE LATTRE DE TASSIGNY  84000 AVIGNON FRANCE, 84007003,lat,lon,Name,Adresse, Nb de places BePark,
43.9209450,4.8059519,Indigo - Centre Hospitalier d'Avignon,RUE RAOUL FOLLEREAU 84000 AVIGNON, 84007007,lat,lon,Name,Adresse, Nb de places BePark,
48.8661655,2.4166785,Indigo - Porte de Bagnolet,PARC RELAIS GALLIÉNI RUE JEAN JAURES 93170 BAGNOLET FRANCE, 93006001,lat,lon,Name,Adresse, Nb de places BePark,
48.8653078,2.4153621,Indigo - Centre Commercial Bel Est,28 AVENUE DU GÉNÉRAL DE GAULLE  93170 BAGNOLET FRANCE, 93006003,lat,lon,Name,Adresse, Nb de places BePark,
43.7440625,7.4261820,Indigo - Libération,1 PLACE DE LA LIBERATION  06240 BEAUSOLEIL  FRANCE, 06012001,lat,lon,Name,Adresse, Nb de places BePark,
43.7479435,7.4246158,Indigo - Belle-époque,AVENUE DE GENERAL DE GAULLE  6240 BEAUSOLEIL  FRANCE, 06012002,lat,lon,Name,Adresse, Nb de places BePark,
43.7389921,7.4136230,Indigo - Beausoleil Victor Hugo,AVENUE PAUL DOUMER  06240 BEAUSOLEIL  FRANCE, 06012004,lat,lon,Name,Adresse, Nb de places BePark,
49.4325455,2.0892435,Indigo - Jeu de Paume,4 BLD SAINT ANDRÉ  60000 BEAUVAIS FRANCE, 60057006,lat,lon,Name,Adresse, Nb de places BePark,
49.4350323,2.0856401,Indigo - Hôtel-Dieu,PLACE DE L'HÔTEL DIEU BEAUVAIS, 60057008,lat,lon,Name,Adresse, Nb de places BePark,
49.4295387,2.0807123,Indigo - FOCH,  60000 BEAUVAIS FRANCE, 60057004,lat,lon,Name,Adresse, Nb de places BePark,
49.4295387,2.0807123,Indigo - Hôtel de Ville,  60000 BEAUVAIS FRANCE, 60057005,lat,lon,Name,Adresse, Nb de places BePark,
47.6396740,6.8638490,Indigo - Nouvelles Galeries,RUE DE L'AS DE CARREAUX  900000 BELFORT FRANCE, 90010002,lat,lon,Name,Adresse, Nb de places BePark,
50.5278281,2.6432778,Indigo - Lille et Béthune Carrefour,66 RUE DE LILLE  62400 BÉTHUNE FRANCE, 62119001,lat,lon,Name,Adresse, Nb de places BePark,
48.9275620,2.2165800,Indigo - Bezons Cœur de Ville,54 EDOUARD VAILLANT BEZONS, 9506301,lat,lon,Name,Adresse, Nb de places BePark,
43.4826407,-1.5604067,Indigo - Bellevue,15 PLACE GEORGES CLEMENCEAU  64200 BIARRITZ FRANCE, 64122008,lat,lon,Name,Adresse, Nb de places BePark,
43.4812629,-1.5547203,Indigo - Verdun Médiathèque,5 RUE BEAU SÉJOUR  64200 BIARRITZ FRANCE, 64122009,lat,lon,Name,Adresse, Nb de places BePark,
43.4834060,-1.5594224,Indigo - Casino,29, BOULEVARD DU GÉNÉRAL DE GAULLE  64200 BIARRITZ FRANCE, 64122002,lat,lon,Name,Adresse, Nb de places BePark,
43.4806176,-1.5589170,Indigo - Halles Clemenceau,16, AVENUE FOCH  64200 BIARRITZ FRANCE, 64122003,lat,lon,Name,Adresse, Nb de places BePark,
43.4823425,-1.5636740,Indigo - Sainte Eugénie,2 PLACE SAINTE EUGÉNIE  64200 BIARRITZ FRANCE, 64122004,lat,lon,Name,Adresse, Nb de places BePark,
43.4622142,-1.5561932,Indigo - Gare du Midi,12 RUE FRANÇOIS MAURIAC  64200 BIARRITZ FRANCE, 64122005,lat,lon,Name,Adresse, Nb de places BePark,
43.4852868,-1.5570784,Indigo - Grande Plage,5 BOULEVARD DE GAULLE  64200 BIARRITZ FRANCE, 64122006,lat,lon,Name,Adresse, Nb de places BePark,
43.4766898,-1.5494157,Indigo - Kléber,BOULEVARD D'AUGUSTA 64200 BIARRITZ, 64122011,lat,lon,Name,Adresse, Nb de places BePark,
43.4660819,-1.5405433,Indigo - Chapelet,RUE CHAPELET 64200 BIARRITZ, 64122012,lat,lon,Name,Adresse, Nb de places BePark,
43.4597740,-1.5686110,Indigo - Dorziat,50 ALLÉE GABRIELLE DORZIAT 64200 BIARRITZ, 64122013,lat,lon,Name,Adresse, Nb de places BePark,
43.4667765,-1.5715843,Indigo - Milady,65 AVENUE DE LA MILADY 64200 BIARRITZ, 64122014,lat,lon,Name,Adresse, Nb de places BePark,
43.6344201,1.3972607,Indigo - Centre-Ville,3 PLACE JEAN LOUIS PUIG  31700 BLAGNAC FRANCE, 31069001,lat,lon,Name,Adresse, Nb de places BePark,
48.9066091,2.4507573,Indigo - Bobigny Coeur de Ville,RUE CARNOT  93000 BOBIGNY FRANCE, 93008001,lat,lon,Name,Adresse, Nb de places BePark,
