Propriétaire,Adresse,Latitude,Longitude,CP,Nb places totales,Nb places vacantes,Intérieur/extérieur/type,Hauteur max,Tarif HT hors com',Pleine propriété / Copropriété,Asset Manager,Commentaire
Perial,32 ET 60 RUE DES BERGES GRENOBLE/POLYTEC,45.2046535,5.7020248,38000,,74,,,€50,0,,Amina BELLARBI
Perial,40 rue des Berges GRENOBLE LE SIROCCO,45.2055988,5.7019511,38000,,10,,,€49,0,Amina BELLARBI,double vacance
Perial,190 Chem. des Fontaines GRENOBLE / BERNIN / PARC FONT.,45.265292,5.876628,38190,,99,,,,,Elise BARBAZANGE,double vacance
Perial,180 avenue de l'Europe MONTBONNOT / LE SUN,45.213954,5.8062742,38330,,38,,,,,Amina BELLARBI,double vacance
Perial,2 RUE RENE VIVIANI NANTES/VIVIANI,47.218371,-1.553621,44000,,27,,,€52,0,,Elise BARBAZANGE
Perial,2 TER QUAI FRANCOIS MITTERRAND NANTES/LE RHUYS ,47.2073482,-1.5558616,44000,,9,,,€52,0,,Elise BARBAZANGE
Perial,1 RUE CHARLES LINDBERGH  NANTES/ bouguenais/Saint Aignan de Grand lieu,47.1561781,-1.5957991,44000,,8,,,€70,0,Elise BARBAZANGE,double vacance
Perial,5 rue Emile Masson NANTES / VIZIO,47.2140295,-1.5466506,44000,,3,,,,,Elise BARBAZANGE,
Perial,90 boulevard de la Prairie au Duc NANTES / ILINK,47.2039606,-1.568602,44200,,6,,,€45,0,,Guillaume BUFFE
Perial,2 RUE DU CHARRON  SAINT HERBLAIN/LE TERMINAL,47.2225646,-1.6399658,44800,,6,,,,,Elise BARBAZANGE,
Perial,9 IMPASSE SERGE REGGIANI SAINT HERBLAIN / SUNSET BAT A,47.2319667,-1.6265078,44800,,5,,,,,Elise BARBAZANGE,double vacance
Perial,9 IMPASSE SERGE REGGIANI SAINT HERBLAIN / SUNSET BAT B ,47.2319667,-1.6265078,44800,,8,,,,,Elise BARBAZANGE,double vacance
Perial,1 IMPASSE CHARLES TRENET DAR ARMOR / SAINT HERBLAIN,47.2266056,-1.6231477,44800,,13,,,,,Elise BARBAZANGE,
Perial,19 RUE DES FUSILLIERS MARINS DUNKERQUE/POLE MARINE,51.0337675,2.3707016,59140,,1,,,,,Farah HATRI,
Perial,1 AVENUE DE L'HORIZON  VILLENEUVE D'ASCQ,50.6076194,3.1554657,59654,,130,,,€35,0,Laure POUYET,double vacance
Perial,200 Rue Jean-Dominique Cassini ILLKIRCH GRAFFENSTADEN EULER,48.5219631,7.7389749,67400,,110,,,,,Amina BELLARBI,double vacance
Perial,Boulevard sebastien brant ILLKIRCH/SEBASTIEN BRANT GAUSS,48.5237456,7.7381289,67400,,5,,,,,Amina BELLARBI,double vacance
Perial,1 Rue Jean-Dominique Cassini ILLKIRCH/LE THALES,48.5229159,7.736516,67400,,41,,,,,Amina BELLARBI,double vacance
Perial,20 RUE LORTET LYON / LORTET,45.7422606,4.8390172,69007,,6,,,€100,0,,Arthur DE VAUMAS
Perial,12 / 14 rue Jonas Salk LYON / HALLE BORIE 2,45.7293391,4.8226312,69007,,1,,,,,Guillaume BUFFE,
Perial,60 Avenue Rockefeller LYON / ADENINE,45.7389409,4.8886742,69008,,18,,,,,Arthur DE VAUMAS,double vacance
Perial,25 - 27 - 29 rue Joannes Carret LYON / SOLAR WEST,45.764043,4.835659,69009,,45,,,€85,0,Guillaume BUFFE,double vacance
Perial,61/63 AVENUE PAUL KRUGER VILLEURBANNE/L'ECHO ,45.7561409,4.8979389,69100,,11,,,,,Arthur DE VAUMAS,double vacance
Perial,117 ALLEE DES PARCS SAINT PRIEST/MYLAN,45.713996,4.9282786,69800,,264,,,,,Arthur DE VAUMAS,double vacance
Perial,117 ALLEE DES PARCS SAINT PRIEST/ILENA PARK,45.713996,4.9282786,69800,,64,,,,,Arthur DE VAUMAS,double vacance
Perial,954 AV. DU MAL DE LATTRE DE TASSIGNY MACON ,46.3079587,4.8293535,71230,,,36,,,€20,Arthur DE VAUMAS,double vacance
Perial,13 / 15 rue de Calais PARIS / CALAIS ,48.8823458,2.3308118,75009,,5,,,,,Laure POUYET,
Perial,61 - 63 RUE DES ENTREPRENEURS PARIS / ENTREPRE. 61,48.8455208,2.2889215,75015,,,4,,,,Farah HATRI,double vacance
Perial,34-36 RUE GUERSANT SCI GUERSANT,48.8820507,2.2888753,75017,,13,,,€170,0,,Laure POUYET
Perial,49 RUE BAGNOLET PARIS / BAGNOLET,48.8577925,2.3977015,75020,,,1,,,,,Laure POUYET
Perial,156 BOULEVARD DE L'EUROPE ROUEN/LE POLARIS ,49.4435261,1.0984309,76000,,20,,,,,Guillaume BUFFE,double vacance
Perial,50 BOULEVARD ANTOINE GIROUST BUSSY SAINT GEORGES,48.8364152,2.7112764,77600,,46,,,€35,0,Marie MEIER,double vacance
Perial,1 COURS DANUBE SERRIS GREENWICH ,48.84432,2.788231,77700,,13,,,€49,0,Bastian GHAZARIAN,double vacance
Perial,1 BIS RUE DU PETIT CLAMART VELIZY/BT F/PETIT CLAMART,48.7815839,2.2257742,78140,,119,,,€45,0,Guillaume BUFFE,double vacance
Perial,1 RUE DU PETIT CLAMART VELIZY/BT D/PETIT CLAMART,48.7826049,2.2252142,78140,,82,,,,,Guillaume BUFFE,double vacance
Perial,1 RUE DU PETIT CLAMART VELIZY/BT G/PETIT CLAMART,48.7826049,2.2252142,78140,,48,,,,,Guillaume BUFFE,double vacance
Perial,1 RUE DU PETIT CLAMART VELIZY/BT B/PETIT CLAMART,48.7826049,2.2252142,78140,,90,,,,,Guillaume BUFFE,double vacance
Perial,1 RUE DU PETIT CLAMART VELIZY/BT A/PETIT CLAMART ,48.7826049,2.2252142,78140,,86,,,,,Guillaume BUFFE,double vacance
Perial,23 RUE COLBERT  MONTIGNY LE B. / CAPRICORNE,48.7833464,2.044135,78180,,6,,,,,Marguerite BAILHACHE,
Perial,6 RUE JEAN PIERRE TIMBAUD MONTIGNY/CAMPUS,48.7923947,2.0366556,78180,,30,,,,,Marguerite BAILHACHE,double vacance
Perial,1 RUE ARNOLD SCHOENBERG GUYANCOURT / LE GERSHWIN,48.7843895,2.0591544,78280,,85,,,,,Marguerite BAILHACHE,double vacance
Perial,16 Rue des Louveries COIGNIERES/PORTES DE CHEVREUSE ,48.7520971,1.9268326,78310,,8052,,,,,Farah HATRI,
Perial,21 Rue Albert Calmette JOUY EN JOSAS / LE CLOS DE LA MARE,48.7727856,2.1666556,78350,,23,,,,,Bastian GHAZARIAN,double vacance
Perial,1 bis avenue Jean d'Alembert ELANCOURT BUROPLUS 3,48.7918894,1.976687,78990,,13,,,,,Laetitia PERCEVAUX,double vacance
Perial,3 boulevard Jean Moulin ELANCOURT OMEGA PARC BAT 3,48.7959278,1.9676152,78997,,18,,,,,Laetitia PERCEVAUX,double vacance
Perial,3 boulevard Jean Moulin ELANCOURT OMEGA PARC BAT 5,48.7959278,1.9676152,78997,,4,,,,,Laetitia PERCEVAUX,double vacance
Perial,QUARTIER DES EPINETTES EVRY / Communes / Epinettes,48.629828,2.441782,91000,,6,,,,,Farah HATRI,
Perial,VILLA DES GLYCINES EVRY / Communes / Rochefort ,48.629828,2.441782,91000,,1,,,,,Farah HATRI,
Perial,86 Rue de Paris ORSAY PARC,48.697161,2.189617,91400,,137,,,,,Laetitia PERCEVAUX,double vacance
Perial,19/21 RUE SAINT DENIS BOULOGNE / ST DENIS,48.8442397,2.2313775,92100,,5,,,,,Marie MEIER,
Perial,17-17 bis route de la Reine BOULOGNE ROUTE DE LA REINE,48.838672,2.2496474,92100,,12,,,€100,0,Marie MEIER,double vacance
Perial,16-18 rue du Dôme BOULOGNE / LE DOME,48.8334346,2.2515157,92100,,6,,,,,Marie MEIER,double vacance
Perial,150 RUE GALLIENI BOULOGNE/GALLIENI,48.8363329,2.2350443,92100,,,,,,,Marie MEIER,double vacance
Perial,9 ALLÉE JEAN PROUVE CLICHY \ ESPACE CLICHY - SIRIUS,48.9035194,2.3058033,92110,,7,,,€64,0,Marguerite BAILHACHE,double vacance
Perial,109/111 Avenue Aristide Briand MONTROUGE/ARISTIDE BRIAND,48.8127935,2.3262658,92120,,24,,,,,Marie MEIER,double vacance
Perial,8 rue Edouard Naud ISSY LES MOULINEAUX - CENOR,48.8221099,2.2625653,92130,,,13,,,€120,Guillaume BUFFE,double vacance
Perial,139 rue Jean Jacques Rousseau ISSY LES MX - TECHNOPOLIS ,48.822649,2.2600255,92130,,93,,,,,Guillaume BUFFE,double vacance
Perial,28 RUE PAGES SURESNES/PAGES,48.8722892,2.2297159,92150,,12,,,,,Bastian GHAZARIAN,double vacance
Perial,13-17 rue Pagès SURESNES/HORIZON DEFENSE,48.872593,2.2290475,92150,,,86,,,,Bastian GHAZARIAN,double vacance
Perial,2/6 place du Général de Gaulle ANTONY/PARC 1,48.7625083,2.3103039,92160,,51,,,,,Guillaume BUFFE,double vacance
Perial,5 promenade des Bonnettes GENNEVILLIERS - BARBANNIERS,48.925525,2.293275,92230,,40,,,,,Guillaume BUFFE,double vacance
Perial,185 avenue des Grésillons GENNEVILLIERS/AYMING,48.9190923,2.3116263,92230,,,,,,,Bastian GHAZARIAN,double vacance
Perial,1 RUE AUGUSTINE VARIOT MALAKOFF / CAP SUD ,48.817275,2.2977599,92240,,20,,,€70,0,Guillaume BUFFE,double vacance
Perial,31 à 49 avenue de la Division Leclerc CHATENAY-MALABRY/COMMERCES,48.7617269,2.2869874,92290,,76,,,,,Guillaume BUFFE,double vacance
Perial,31 - 49 avenue de la Division Leclerc CHATENAY-MALABRY/BUREAUX,48.7614185,2.2880181,92290,,78,,,,,Guillaume BUFFE,double vacance
Perial,45 RUE ANATOLE FRANCE LEVALLOIS / A.FRANCE ,48.8901012,2.2864788,92300,,,2,,,,,Marguerite BAILHACHE
Perial,44 AVENUE GEORGES POMPIDOU LEVALLOIS / LE WILSON,48.8992373,2.2834792,92300,,131,,,,,Marguerite BAILHACHE,double vacance
Perial,1 avenue de la Cristallerie SEVRES/LA CRISTALLERIE,48.8267849,2.2236018,92310,,,59,,,€65,Marguerite BAILHACHE,double vacance
Perial,20 RUE TROYON SEVRES / TROYON / PF3 ,48.8259673,2.2267886,92310,,,11,,,€64,Marguerite BAILHACHE,double vacance
Perial,20 RUE TROYON SEVRES TROYON PFOP,48.8259673,2.2267886,92310,,,5,,,€64,Marguerite BAILHACHE,double vacance
Perial,63 AVENUE DU GENERAL LECLERC BOURG LA REINE / LE CENTRALIS,48.7819059,2.3168289,92340,,0,,,,,Marguerite BAILHACHE,double vacance
Perial,9 avenue Edouard Belin RUEIL MALMAISON/BELIN,48.8879168,2.1687595,92500,,,48,,,€75,Bastian GHAZARIAN,double vacance
Perial,7 rue Henri Becquerel RUEIL MALMAISON / R COM,48.889508,2.172782,92500,,,30,,,€75,Bastian GHAZARIAN,double vacance
Perial,2 rue Sarah Bernhardt ASNIERES / SEINE AVENUE,48.9170059,2.3163383,92600,,6,,,,,Marguerite BAILHACHE,double vacance
Perial,32 PLACE RONDE PUTEAUX / VILLAGE 2,48.8928987,2.2313682,92800,,14,,,€89,0,,Bastian GHAZARIAN
Perial,270 rue de Paris MONTREUIL LA GRANDE PORTE,48.8547934,2.4173093,93100,,,31,,,€100,Guillaume BUFFE,double vacance
Perial,9-11 RUE DE ROSNY MONTREUIL LE TRYALIS,48.8612676,2.4449869,93105,,,,,,,Guillaume BUFFE,double vacance
Perial,6/14 RUE SADI CARNOT BAGNOLET,48.866282,2.4181368,93170,,3,,,,,Marie MEIER,double vacance
Perial,42 Bd de la Libération ETOILE PLEYEL 1,48.9211914,2.3438392,93200,,19,,,€80,0,Marguerite BAILHACHE,double vacance
Perial,14 AVENUE DU DOCTEUR LAMAZE SAINT DENIS / B&B HOTEL,48.933767,2.373033,93200,,61,,,€48,0,,Tom VILLATTE
Perial,88/94 rue André Joineau PARIS/YVOIRE ,48.8575475,2.3513765,93310,,,113,,,€70,Marie MEIER,double vacance
Perial,53 AVENUE JEAN JAURES LE BOURGET - M²,48.931899,2.4290203,93350,,62,,,,,Marie MEIER,double vacance
Perial,19 - 21 RUE DU 8 MAI 1945 ARCUEIL,48.8012211,2.3289349,94110,,,4,,,,,Laetitia PERCEVAUX
Perial,19-21 RUE MAURICE GRANDCOING IVRY/GRANDCOING,48.8133403,2.3931288,94200,,,69,,,75,Laetitia PERCEVAUX,double vacance
Perial,39 à 42 ter Quai Jean Compagnon IVRY/ATRIUM,48.8202286,2.3958477,94200,,34,,,,,Laetitia PERCEVAUX,double vacance
Perial,74 BisAvenue Maurice Thorez IVRY/MAURICE THOREZ,48.8144809,2.3784328,94200,,,13,,,€60,Laetitia PERCEVAUX,double vacance
Perial,1 RUE MICHELET IVRY  ,48.8085951,2.3793617,94200,,,93,,,€49,Laetitia PERCEVAUX,double vacance
Perial,1 PLACE DE TURENNE SAINT MAURICE/LE DUFY,48.8139297,2.4593609,94410,,,,,,,Marguerite BAILHACHE,double vacance
Perial,12 AVENUE DES BEGUINES CERGY / CERVIER,49.05098,2.0356841,95000,,5,,,,,Laetitia PERCEVAUX,double vacance
Perial,69 RUE DE LA BELLE ETOILE ROISSY / BELLE ETOILE,48.9795119,2.5008136,95958,,8,,,,,Marie MEIER,double vacance
Sodify,1 - 3 AVENUE DE WESTPHALIE MONTIGNY LE BRETONNEUX,48.7898717,2.0449962,78180,,25,,,45.83 €,,,Badge
Sodify,137 RUE HENRI BARBUSSE CLICHY,48.9028684,2.3120794,92110,,27,,,91.67 €,,,Badge
Sodify,LES COLLINES DE L'ARCHE PUTEAUX,48.8933169,2.2368487,92800,,78,,,116.67 €,,,Techno
Sodify,151-159 RUE DE SILLY BOULOGNE BILLANCOURT,48.8327215,2.2347599,92100,,24,,,108.33 €,,,Techno
Sodify,16 RUE HOCHE PUTEAUX,48.8901982,2.2321867,92800,,89,,,87.50 €,,,Techno
Sodify,62 BIS AVENUE ANDRE MORIZET BOULOGNE BILLANCOURT,48.837548,2.2357589,92100,,29,,,116.67 €,,,Techno
Sodify,LE TASTA - BOULEVARD DES EXPOSITIONS BRUGES,44.882941,-0.5884523,33520,,44,,,41.67 €,,,Badge
Sodify,207 COURS DU MEDOC BORDEAUX,44.8651804,-0.5746,33000,,70,,,83.33 €,,,Techno
Sodify,2-4 RUE MAURICE HARTMANN ISSY LES MOULINEAUX,48.8275376,2.2833086,92130,,210,,,104.17 €,,,Techno
Sodify,34-36 RUE BRUNEL,48.8783411,2.2880588,75017,,30,,,,,,
